country,province_state,degree,field_of_study,
Canada,Ontario,PhD,Statistics/Sociology,
Canada,British Columbia,Masters,CompSci/Stats,
Canada,British Columbia,PhD,Data Science,
Canada,British Columbia,PhD,Statistics,
Canada,British Columbia,Masters,Community Manager,
Canada,British Columbia,Bachelors,Data Analyst,
Canada,Ontario,PhD,Consultant,
Canada,Ontario,Null,Finance Operations,
Canada,Ontario,PhD,Speech-Language Pathology,
Canada,Ontario,PhD,Speech-Language Pathology,
Canada,Ontario,PhD,Data Science,
Canada,Ontario,Masters,Medical Science,
Canada,Alberta,Masters,Anthropology/Archaeology,
Canada,Ontario,Masters,Health & Rehab,
Canada,Ontario,Masters,Data Analyst,
Canada,Ontario,Masters,Data Analyst,
Canada,Quebec,PhD,Natural Resource Science,
Canada,Ontario,Masters,Cancer Research,
USA,New York,PhD,Communicative Disorder & Sciences,
Canada,Nova Scotia,PhD,Null,
Canada,British Columbia,PhD,Statistics,
Canada,Ontario,Masters,Epidemiology/CompSci,
Canada,Quebec,PhD,Plant Science,
Canada,Manitoba,PhD,Biology,
Canada,British Columbia,PhD,Microbiology & Immunology,
Canada,Ontario,PhD,Biology,
Canada,Ontario,Masters,Nutritional Science,
Canada,British Columbia,PhD,Health Information Science,
Canada,British Columbia,Bachelors,Cytometry Analysis,
Canada,Quebec,PhD,Physics,
Canada,Quebec,Bachelors,Pharmacology,
Canada,Ontario,PhD,Computational Biology,
Canada,Newfoundland,Masters,Biology/Ocean Sciences,
Canada,Alberta,Masters,Data Analyst,
Canada,Quebec,PhD,Epidemiology/Biostats,
Canada,British Columbia,Masters,Data Science,
Canada,British Columbia,Masters,Health Science,
Canada,Ontario,Masters,Health & Rehab,
Canada,Quebec,PhD,Environmental Science,
Canada,British Columbia,PhD,Neurogenomics,
Canada,Ontario,Bachelors,Statistics,
Canada,Alberta,PhD,morphological Evolution,
Canada,Ontario,PhD,Computational Biology,
USA,NC,Masters,Data Scientist,
USA,CA,Masters,Marine Data Scientist,
USA,NY,Masters,Ecology & Evolutionary Biology,
USA,CA,Masters,Water resource,
USA,NC,Null,Analyst Brokerage,
USA,MA,Masters,Economics,
USA,OH,PhD,Psychology,
USA,DE,Bachelors,Tech Lead,
USA,Null,PhD,Environmental & Radiological Health Sciences,
USA,UT,Masters,Research,
USA,MI,Null,Ecoinformatics,
USA,CA,Masters,Statistics,
USA,MI,Masters,Psychology,
USA,IN,PhD,Bioinformatician,
USA,MI,PhD,Linguistics,
USA,CA,Masters,Gerontology,
USA,AZ,Masters,Second Language Acquisition and Teaching,
USA,VT,PhD,Natural Resources,
USA,AZ,PhD,Research,
USA,GA,Masters,Plant breeding/ Genetics & Genomics,
USA,GA,PhD,Plant breeding/ Genetics and Genomics,
USA,CA,Masters,Null,
USA,CO,PhD,Criminal Justice,
